auto_clan	clan_description	number_archs	group_concat(distinct(pfamnr))	clan_comment
1	EGF superfamily	3367	PF01414,PF04863,PF00053,PF07645,PF00008,PF07974,PF09064,PF09289,PF12661,PF12662,PF12946,PF12947	Members of this clan all belong to the EGF superfamily.  This particular superfamily is characterised as having least 6 cysteines residues.\t\t\t\t   These cysteine form disulphide bonds, in the order 1-3, 2-4, 5-6, which are essential for the stability of  the EGF fold.    These disulphide bonds are stacked in a ladder-like arrangement.  The Laminin EGF family is distinguished by having an an additional disulphide bond.  The function of the domains within  this family remains unclear, but they are though to largely  perform a structural role.  More often than not, there domains are arranged a tandem repeats in extracellular proteins.
3	Sterile Alpha Motif (SAM) domain	516	PF00536,PF02198,PF07647,PF09235,PF13543	SAM domains are found in a diverse set of proteins, which include  scaffolding proteins, transcription regulators, translational  regulators tyrosine kinases and serine/threonine kinases [1-3].   SAM domains are found in all eukaryotes and some bacteria [3] .   Structures of SAM domains reveal a common five helical structure.  The SAM domain is involved in a variety of functions. The most widespread function is in domain-domain interactions.   The SAM domain performs domain-domain interactions using multifarious  arrangements of the SAM domain.  More recently, the SAM domain within  the Smaug protein has been demonstrated to bind to the Nanos 3' UTR translation control element (Rfam:RF00161) [3]. This clan currently only represents the diverse SAM domain family and does not contain the more divergent SAM/Pointed family (Pfam:PF02198).
4	Concanavalin-like lectin/glucanase superfamily	1929	PF03935,PF00722,PF02210,PF00337,PF00457,PF01670,PF00840,PF00054,PF03388,PF00139,PF00354,PF02973,PF06439,PF07953,PF10287,PF13385	This superfamily includes a diverse range of carbohydrate binding domains and glycosyl hydrolase enzymes that share a common structure.
5	Kazal like domain	227	PF00050,PF07648	Kazal domains are found in both serine protease inhibitors and extracellular regions of agrins. The structure of the Kazal domain is a small alpha/beta fold. Typically the Kazal domain consists of 2 short-helices and a  3-stranded anti-parallel sheet.  The fold is contains several disulphide bonds. 
6	Protein kinase C, C1 domain	516	PF03107,PF00130,PF00569,PF07649,PF07975	The members of this clan are all variations of the protein kinase C1 domain that is characterised by a rich cysteine and histidine content.  The C1 domain is the N-terminal region of conservation found in protein kinase C domains.  This domain is involved in binding many ligands, which include diacylglycerol, phorbol  esters and zinc [1].
7	K-Homology (KH) domain Superfamily	395	PF00013,PF07650,PF13014,PF13083,PF13184	The KH domain is thought to be the second most prevalent RNA  binding motif in proteins.  The motif is characterised by a  conserved GXXXGXXG in the middle of the domain.  Structures of KH reveal that the KH domain is arranged as either a  beta-alpha-alpha-beta-beta (mini-KH domain) or  beta-alpha-alpha-beta-beta-alpha (maxi-KH domain).  The secondary elements are separated by at least four loop segments. The second loop is located between beta-1 and al  The KH domain can be found either as single or multiple copies.  The KH domain usually binds RNA as a multimer.
9	ENTH/ANTH/VHS superfamily	64	PF00790,PF01417,PF07651	This clan includes the related ENTH and ANTH domains as well as the VHS domain. The ENTH domain is approximately 150 residues in length and is a solenoid of alpha-helices. The various ENTH domains have various lipid specificities but the key feature that distinguishes it functionally from ANTH domains is its ability to bend membranes. It does  this by folding an additional N-terminal helix on lipid binding. The ANTH domain is approximately 300 residues in length and is a PtdIns(4,5)P2 binding domain. It has no membrane bending properties. The VHS (Vps-27, Hrs and STAM) domain is a 140 residue long domain present in the very NH2-terminus of at least 60 proteins. Based on their functional characteristics and on recent data on the involvement of VHS in cargo recognition in trans-Golgi, VHS domains are considered to have a general membrane targeting/cargo recognition role in vesicular trafficking [5].
10	Src homology-3 domain	1325	PF00018,PF06347,PF07653,PF08239,PF08460,PF12913,PF13457	Src homology-3 (SH3) domains are comprised of about 60 amino acids, performing either an assembly or regulatory role.\t       For example, SH3 domains in the Grb2 adaptor protein  are essential for protein-protein interactions and\t\t      signal transduction in the p21 Ras-dependent growth factor signaling pathway.  Alternatively, SH3 performs a regulatory role in the Src family of tyrosine kinases. SH3 domains bind a variety of peptide ligands, many of which  contain a PxxP motif.  This PxxP motif is flanked by different specificity elements [1].   Structures of SH3 domains, both free and ligand complexed, have provided insights into the mechanism of ligand recognition. The SH3 fold consists of two anti-parallel beta sheets that lie  at right angles to each other.  Within the fold, there are two variable loops, referred to as RT and n-Src loops.  When SH3 binds to its ligand, the proline rich ligand adopts a PPII helix conformation, with the PPII helix structure recognised by a pair of grooves on the surface of the SH3 domain that  bind turns of the helix.  The SH3 grooves  are formed by a series of nearly parallel, well-conserved aromatic residues [1].
11	Immunoglobulin superfamily	2711	PF00207,PF02440,PF02480,PF01688,PF01537,PF03921,PF00047,PF02960,PF02124,PF05326,PF05790,PF06328,PF07654,PF07679,PF07686,PF08204,PF08205,PF09085,PF10430,PF11465,PF13895,PF13927	Members of the immunoglobulin superfamily are found in hundreds of proteins of different functions. Examples include antibodies, the giant muscle kinase titin and receptor tyrosine kinases.  Immunoglobulin-like domains may be involved in protein-protein and protein-ligand interactions. The superfamily can be divided into discrete structural sets, by the presence or absence of beta-strands in the structure and the  length of the domains [1]. Proteins containing domains of the C1 and V-sets are mostly molecules of the vertebrate immune system. Proteins of the C2-set are mainly lymphocyte antigens, this differs from the composition of the C2-set as originally proposed [1]. The I-set is intermediate in structure between the C1 and V-sets and is found widely in cell surface proteins as well as intracellular muscle proteins.
12	Histone superfamily	104	PF04719,PF02269,PF03847,PF00808,PF00125,PF02969,PF02291,PF07524	Members of this clan all possess a histone fold. Generally proteins in this clan are DNA binding.
