auto_clan	pfams	uarchs	pfamcount	uarchcount
1	PF00053,PF12661,PF07645,PF12947,PF07974	PF00053_PF12661,PF00147_PF07645_PF12947,PF00147_PF12947,PF00147_PF07645,PF04885_PF07645,PF07645,PF07974,PF10342_PF12947	5	8
3	PF07647,PF00536	PF00211_PF07647,PF00211_PF00536_PF07721,PF00211_PF00536	2	3
4	PF00354,PF02210,PF00722,PF06439,PF01670,PF02973,PF07953,PF00054,PF00139,PF00457,PF00337,PF03388,PF03935,PF10287,PF13385	PF00028_PF00059_PF00354_PF02210,PF00030_PF00722_PF03422,PF00034_PF06439,PF00034_PF06439_PF08531,PF00034_PF06439_PF07691,PF00034_PF06283_PF06439_PF08305,PF00041_PF00395_PF00722_PF00754_PF06229,PF00041_PF00553_PF01670,PF00041_PF00801_PF02210,PF00041_PF00754_PF02012_PF02973_PF12135,PF00041_PF00722,PF00041_PF02973_PF10102,PF00041_PF07953,PF00041_PF00722_PF03422,PF00041_PF00553_PF00722_PF00754,PF00041_PF02973,PF00054_PF00657_PF02012,PF00054,PF00059_PF00354_PF02210,PF00069_PF00400_PF06439,PF00089_PF06439,PF00089_PF02012_PF02973,PF00127_PF06439,PF00139,PF00139_PF00395_PF09479,PF00139_PF00801,PF00139_PF00353_PF03160,PF00139_PF07589,PF00139_PF01345,PF00139_PF00395_PF02368_PF02369,PF00139_PF00400,PF00139_PF03160,PF00139_PF11617,PF00147_PF00801_PF02210,PF00149_PF02210,PF00150_PF00652_PF01670,PF00150_PF00457_PF02013,PF00251_PF06439_PF08244,PF00251_PF00652_PF06439_PF08244,PF00251_PF02210_PF08244,PF00251_PF00354_PF08244,PF00251_PF02210_PF03217_PF08244_PF12733,PF00251_PF02368_PF06439_PF08244,PF00251_PF02210_PF02368_PF08244_	15	210
5	PF00050,PF07648	PF00050,PF00050_PF03534,PF00050_PF00127,PF00050_PF00753,PF00050_PF07648,PF02645_PF07648,PF07648	2	7
7	PF07650,PF00013,PF13184,PF13083	PF00009_PF07650,PF00013_PF00575_PF01138_PF03725_PF03726,PF00013_PF02562,PF00013_PF01966_PF12072,PF00013,PF00013_PF00575,PF00013_PF00437_PF01850,PF00013_PF00575_PF01138_PF03725,PF00013_PF00753_PF07521_PF10996,PF00013_PF01138_PF03725,PF00013_PF00575_PF08529,PF00013_PF01966,PF00013_PF01138_PF03725_PF03726,PF00013_PF00575_PF01938_PF10150,PF00013_PF00575_PF03725,PF00013_PF12072,PF00013_PF00437,PF00013_PF01424,PF00013_PF01850,PF00013_PF00575_PF01138_PF03726,PF00013_PF08529_PF13184,PF00013_PF00575_PF08529_PF13184,PF00013_PF08529,PF00132_PF07650,PF00189_PF00417_PF07650,PF00189_PF07650,PF00571_PF01595_PF01926_PF03471_PF07650,PF00575_PF07650_PF08529,PF00575_PF08529_PF13184,PF00753_PF07521_PF07650_PF10996,PF01251_PF07650,PF01424_PF07650,PF01424_PF13083,PF01926_PF07650,PF01926_PF02130_PF07650,PF02421_PF07650,PF02562_PF07650,PF03118_PF08529_PF13184,PF07650,PF07650_PF08529,PF07650_PF10662,PF08529_PF13184,PF13083,PF13184	4	44
9	PF01417	PF01417	1	1
10	PF08239,PF00018,PF07653,PF06347,PF12913,PF08460	PF00005_PF08239,PF00018_PF07653,PF00018,PF00041_PF08239,PF00041_PF01183_PF08239,PF00041_PF00128_PF02903_PF08239,PF00041_PF00069_PF08239,PF00041_PF00959_PF08239,PF00041_PF05257_PF08239,PF00069_PF08239,PF00069_PF08239_PF12708,PF00082_PF02225_PF02368_PF06280_PF08239,PF00089_PF08239,PF00092_PF00395_PF05593_PF08239,PF00092_PF05593_PF08239,PF00092_PF05738_PF08239,PF00149_PF02872_PF08239,PF00149_PF02872_PF08239_PF09587,PF00188_PF08239,PF00226_PF08239,PF00246_PF08239,PF00395_PF01520_PF08239,PF00395_PF08239,PF00395_PF01510_PF08239,PF00395_PF00545_PF01473_PF08239,PF00395_PF01473_PF08239,PF00404_PF08239_PF12733,PF00515_PF06347,PF00515_PF08239,PF00515_PF07719_PF08239,PF00565_PF08239,PF00595_PF03572_PF06347,PF00656_PF08239,PF00656_PF08239_PF12796,PF00704_PF07833_PF08239,PF00704_PF08239,PF00704_PF01476_PF08239,PF00768_PF07833_PF08239,PF00768_PF08239,PF00877_PF12913,PF00877_PF08239,PF00877_PF06347,PF00877_PF12912_PF12913_PF12914,PF00877_PF01476_PF08239,PF00877_PF12913_PF12914,PF00877_PF05257_PF08239,PF00877_PF05257_PF05262_	6	154
11	PF00207,PF07679,PF07686,PF02480,PF13895	PF00024_PF00207_PF01835_PF07703_PF10569_PF11974,PF00024_PF00207_PF01835_PF07703_PF11974,PF00024_PF00207_PF01835_PF07678_PF07703_PF10569_PF11974,PF00041_PF04122_PF07679,PF00041_PF00395_PF07581_PF07679,PF00041_PF07679,PF00041_PF01833_PF07679_PF07691_PF08309,PF00041_PF00703_PF00754_PF02836_PF02837_PF07679,PF00059_PF05593_PF07679,PF00082_PF07679,PF00207_PF01835_PF07678_PF07703_PF10569_PF11974,PF00207_PF01835_PF07703_PF11974,PF00207_PF01835_PF07703_PF10569,PF00207_PF01835_PF07703_PF10569_PF11974,PF00207_PF07678_PF07703_PF10569,PF00207_PF01835_PF07677_PF07678_PF07703_PF10569,PF00207_PF01835_PF07703,PF00207_PF01835_PF07678_PF07703,PF00207_PF01835,PF00207_PF01835_PF07678_PF07703_PF11974,PF00207_PF01835_PF07678_PF07703_PF10569,PF00207_PF07677_PF07678_PF07715_PF10569,PF00207,PF00207_PF01835_PF07715,PF00207_PF01835_PF07007_PF07703_PF11974,PF00207_PF00432_PF01835_PF07703_PF10569_PF11974,PF00207_PF01835_PF07678_PF10569,PF00207_PF01835_PF10569,PF00207_PF07715,PF00207_PF01835_PF11974,PF00207_PF07703,PF00207_PF07703_PF11974,	5	58
12	PF00125,PF00808	PF00125,PF00808	2	2
13	PF00144,PF04960,PF00905,PF07930,PF02113,PF00768,PF13354	PF00005_PF00144,PF00005_PF00144_PF00664,PF00027_PF04960,PF00027_PF01740_PF04960,PF00041_PF00905_PF00912,PF00089_PF00144,PF00106_PF00144,PF00144,PF00144_PF11954,PF00144_PF00474_PF07075,PF00144_PF07833_PF11954,PF00144_PF00326_PF07676,PF00144_PF00501_PF00550_PF00668,PF00144_PF05547,PF00144_PF00395,PF00144_PF07833,PF00144_PF00657,PF00144_PF00933,PF00144_PF03625,PF00144_PF07930_PF07932,PF00144_PF07075,PF00144_PF07719,PF00144_PF00933_PF01915,PF00144_PF06452,PF00144_PF04122,PF00144_PF00515,PF00144_PF04151,PF00144_PF00756,PF00144_PF07523,PF00144_PF02368,PF00144_PF01471_PF01510,PF00144_PF07932,PF00144_PF10518,PF00144_PF07908_PF07969,PF00144_PF04794,PF00144_PF01427,PF00144_PF00515_PF11954,PF00144_PF01471,PF00144_PF01476,PF00144_PF00378,PF00144_PF00561,PF00144_PF01757,PF00144_PF03724,PF00144_PF02113,PF00144_PF12697,PF00144_PF07908,PF00144_PF09825,PF00144_PF01381,PF00144_PF00353,PF00144_PF00768,PF00144_PF00583,PF00395_PF00768,PF00498_PF00905_PF00912,PF00575_PF00905_PF00912,PF00768,PF00768_PF07943,PF00768_PF05036,PF00768_	7	94
