go_id	go_desc
0004427	 inorganic diphosphatase activity 
0004039	 allophanate hydrolase activity 
0047351	 guanosine-triphosphate guanylyltransferase activity 
0009028	 tartronate-semialdehyde synthase activity 
0047999	 hyponitrite reductase activity 
0018580	 nitronate monooxygenase activity 
0047695	 benzoin aldolase activity 
0003834	 beta-carotene 15,15-monooxygenase activity 
0004655	 porphobilinogen synthase activity 
0050217	 propioin synthase activity 
0018490	 4-hydroxyphenylpyruvate oxidase activity 
0050054	 lignostilbene alpha beta-dioxygenase activity 
0050455	 columbamine oxidase activity 
0047989	 hydroxybutyrate-dimer hydrolase activity 
0047201	 beta-glucogallin O-galloyltransferase activity 
0050318	 tannase activity 
0050160	 orsellinate-depside hydrolase activity 
0047064	 sulochrin oxidase [+-bisdechlorogeodin-forming] activity 
0047065	 sulochrin oxidase [--bisdechlorogeodin-forming] activity 
0047278	 bilirubin-glucuronoside glucuronosyltransferase activity 
0047158	 sinapoylglucose-sinapoylglucose O-sinapoyltransferase activity 
0004746	 riboflavin synthase activity 
0030410	 nicotianamine synthase activity 
0052716	 hydroquinoneoxygen oxidoreductase activity 
0004418	 hydroxymethylbilane synthase activity 
0016692	 NADH peroxidase activity 
0016040	 glutamate synthase NADH activity 
0050453	 cobIIalamin reductase activity 
0035529	 NADH pyrophosphatase activity 
0003951	 NAD+ kinase activity 
0042736	 NADH kinase activity 
0008746	 NADP+ transhydrogenase activity 
0050137	 NADPH peroxidase activity 
0004355	 glutamate synthase NADPH activity 
0047950	 glutathione oxidase activity 
0008803	 bis5-nucleosyl-tetraphosphatase (symmetrical) activity 
0047453	 ATP-dependent NADPH-hydrate dehydratase activity 
0004140	 dephospho-CoA kinase activity 
0047899	 formate dehydrogenase NADP+ activity 
0050355	 triphosphatase activity 
0047666	 ammonia kinase activity 
0004087	 carbamoyl-phosphate synthase ammonia activity 
0045134	 uridine-diphosphatase activity 
0003919	 FMN adenylyltransferase activity 
0004707	 MAP kinase activity 
0047626	 adenosylmethionine hydrolase activity 
0004014	 adenosylmethionine decarboxylase activity 
0016847	 1-aminocyclopropane-1-carboxylate synthase activity 
0047625	 adenosylmethionine cyclotransferase activity 
0008714	 AMP nucleosidase activity 
0047710	 bis5-adenosyl-triphosphatase activity 
