pfam_id	go_id
PF00001	0004930
PF00001	0007186
PF00001	0016021
PF00002	0004930
PF00002	0007186
PF00002	0016021
PF00003	0004930
PF00003	0007186
PF00003	0016021
PF00004	0005524
PF00005	0005524
PF00005	0016887
PF00006	0005524
PF00008	0005515
PF00009	0003924
PF00009	0005525
PF00010	0046983
PF00013	0003723
PF00014	0004867
PF00015	0004871
PF00015	0007165
PF00015	0016020
PF00016	0000287
PF00017	0005515
PF00018	0005515
PF00019	0008083
PF00020	0005515
PF00023	0005515
PF00025	0005525
PF00026	0004190
PF00026	0006508
PF00028	0005509
PF00028	0007156
PF00028	0016020
PF00031	0004869
PF00032	0009055
PF00032	0016491
PF00032	0016020
PF00033	0022904
PF00033	0016020
PF00034	0005506
PF00034	0009055
PF00034	0020037
PF00035	0003725
PF00037	0009055
PF00037	0051536
PF00039	0005576
PF00041	0005515
PF00042	0005506
PF00042	0020037
PF00044	0016620
PF00044	0055114
PF00046	0003700
PF00046	0043565
PF00046	0006355
PF00048	0008009
PF00048	0006955
PF00048	0005576
PF00049	0005179
PF00049	0005576
PF00050	0005515
PF00056	0016491
PF00056	0055114
PF00057	0005515
PF00059	0030246
PF00060	0004970
PF00060	0005234
PF00060	0016020
PF00063	0003774
PF00063	0005524
PF00063	0016459
PF00064	0004308
PF00064	0005975
PF00064	0016020
PF00064	0033644
PF00064	0055036
PF00066	0030154
PF00066	0016020
PF00067	0005506
PF00067	0009055
PF00067	0016705
PF00067	0020037
PF00067	0055114
PF00069	0004672
PF00069	0005524
PF00069	0006468
PF00070	0016491
PF00070	0050660
PF00070	0055114
PF00071	0005525
PF00071	0007264
PF00072	0000156
PF00072	0000160
PF00072	0006355
PF00073	0005198
PF00073	0019028
PF00075	0003676
PF00075	0004523
PF00076	0003676
PF00078	0003723
PF00078	0003964
PF00078	0006278
PF00080	0046872
PF00080	0006801
PF00080	0055114
PF00081	0004784
PF00081	0046872
PF00081	0006801
PF00081	0055114
PF00082	0004252
PF00082	0006508
PF00083	0022857
PF00083	0055085
PF00083	0016021
PF00085	0045454
PF00087	0005576
PF00089	0004252
PF00089	0006508
PF00091	0051258
PF00091	0043234
PF00092	0005515
PF00093	0005515
PF00095	0030414
PF00095	0005576
PF00096	0008270
PF00098	0003676
PF00098	0008270
PF00102	0004725
PF00102	0006470
PF00103	0005179
PF00103	0005576
PF00104	0003700
PF00104	0003707
PF00104	0006355
PF00104	0043401
PF00104	0005634
PF00105	0003700
PF00105	0008270
PF00105	0043565
PF00105	0006355
PF00105	0005634
PF00106	0016491
PF00106	0008152
PF00107	0008270
PF00107	0016491
PF00107	0055114
PF00108	0016747
PF00108	0008152
PF00110	0005102
PF00110	0007275
PF00110	0016055
PF00110	0005576
PF00111	0009055
PF00111	0051536
PF00112	0008234
PF00112	0006508
PF00113	0000287
PF00113	0004634
PF00113	0006096
PF00113	0000015
PF00114	0007155
PF00114	0009289
PF00115	0004129
PF00115	0005506
PF00115	0009055
PF00115	0020037
PF00115	0009060
PF00115	0055114
PF00115	0016021
PF00116	0004129
PF00116	0005507
PF00116	0016020
PF00118	0005524
PF00118	0044267
PF00119	0015078
PF00119	0015986
PF00119	0045263
PF00120	0004356
PF00120	0006807
PF00121	0004807
PF00121	0008152
PF00122	0000166
PF00122	0046872
PF00123	0005179
PF00123	0005576
PF00124	0045156
PF00124	0009772
PF00124	0019684
PF00125	0003677
PF00126	0003700
PF00126	0006355
PF00127	0005507
PF00127	0009055
PF00128	0003824
PF00128	0043169
PF00128	0005975
PF00129	0006955
PF00129	0019882
PF00129	0016020
PF00129	0042612
PF00130	0035556
PF00131	0046872
PF00133	0000166
PF00133	0004812
PF00133	0005524
PF00133	0006418
PF00133	0005737
PF00136	0000166
PF00136	0003677
PF00136	0003887
PF00136	0006260
PF00137	0015078
PF00137	0015991
PF00137	0033177
PF00139	0030246
PF00140	0003677
