group_concat(distinct(go_id))	auto_clan	group_concat(distinct(pfamnr))
GO:0007154,GO:0016020,GO:0016846,GO:0005509,GO:0005515,GO:0004888,GO:0016021	1	PF01414,PF04863,PF07645,PF00008,PF09064,PF09289
GO:0043565,GO:0005634,GO:0005515	3	PF02198,PF07647
GO:0004553,GO:0005975,GO:0030246,GO:0008810,GO:0000272,GO:0016020,GO:0004308,GO:0004222,GO:0050827,GO:0009405,GO:0051609,GO:0005576	4	PF00722,PF00337,PF00457,PF01670,PF00840,PF03388,PF00139,PF02973,PF07953
GO:0005515	5	PF00050,PF07648
GO:0035556,GO:0008270,GO:0047134,GO:0055114,GO:0006281	6	PF00130,PF00569,PF07649,PF07975
GO:0003723	7	PF00013,PF07650,PF13014,PF13184
GO:0006886,GO:0005543	9	PF00790,PF07651
GO:0005515	10	PF00018
GO:0004866,GO:0016020,GO:0033643,GO:0016021,GO:0005576,GO:0007155,GO:0004714,GO:0005524,GO:0006468,GO:0007169,GO:0005887	11	PF00207,PF02480,PF01688,PF01537,PF05326,PF05790,PF09085,PF10430
GO:0006367,GO:0005634,GO:0006366,GO:0006352,GO:0005669,GO:0043565,GO:0005622,GO:0003677	12	PF04719,PF02269,PF03847,PF00808,PF00125,PF02969,PF02291
GO:0004359,GO:0006541,GO:0008658,GO:0009273,GO:0009002,GO:0006508,GO:0004185,GO:0004177	13	PF04960,PF00905,PF00768,PF02113,PF07930
GO:0008899,GO:0019281,GO:0005737,GO:0008236,GO:0006508,GO:0003824,GO:0009236,GO:0016787,GO:0006541,GO:0004565,GO:0005975	14	PF04204,PF03575,PF07685,PF07722,PF08532
GO:0016020,GO:0005337,GO:0006810,GO:0016021,GO:0005215,GO:0005542,GO:0008518,GO:0055085,GO:0022857,GO:0005471,GO:0005524,GO:0005381,GO:0034755,GO:0008521	15	PF02487,PF01733,PF03137,PF01770,PF03239,PF01306,PF00854,PF00083,PF03219,PF06963,PF07690,PF13000
GO:0003824,GO:0005524,GO:0016773,GO:0006468,GO:0019748,GO:0004672,GO:0009244,GO:0009103,GO:0016020,GO:0016032	16	PF01163,PF04655,PF00069,PF05445,PF06176,PF06293,PF06734,PF07714
GO:0003677,GO:0006355,GO:0005634,GO:0003700,GO:0043565	18	PF03131,PF00170,PF07716
GO:0005515,GO:0006396,GO:0005622,GO:0008565,GO:0006886,GO:0005643,GO:0003677,GO:0003723,GO:0016192,GO:0030117,GO:0005198,GO:0006890,GO:0030126,GO:0006606,GO:0005634,GO:0005737,GO:0046961,GO:0015991,GO:0000221,GO:0005319,GO:0006869,GO:0006397,GO:0003779,GO:0016043,GO:0017048,GO:0030036,GO:0045040,GO:0005742,GO:0042802,GO:0016070,GO:0008237,GO:0008270,GO:0019370,GO:0030130,GO:0030132,GO:0044183,GO:0033130,GO:0007268,GO:0005856,GO:0030054,GO:0045211,GO:0016820	20	PF00514,PF03378,PF02184,PF03810,PF02854,PF00515,PF01602,PF00637,PF04733,PF02259,PF02985,PF01749,PF02071,PF00806,PF03224,PF01347,PF02020,PF05843,PF06367,PF06371,PF06552,PF07721,PF08506,PF09088,PF09090,PF09127,PF09268,PF10508,PF10579,PF11698,PF12753,PF13174,PF13176,PF13181
