pfamnr	pfamdesc	interpronr	interprodesc
PF00001	7 transmembrane receptor (rhodopsin family)	IPR000276	NULL
PF00002	7 transmembrane receptor (Secretin family)	IPR000832	NULL
PF00003	7 transmembrane sweet-taste receptor of 3 GCPR	IPR017978	NULL
PF00004	ATPase family associated with various cellular activities (AAA)	IPR003959	NULL
PF00005	ABC transporter	IPR003439	NULL
PF00006	ATP synthase alpha/beta family, nucleotide-binding domain	IPR000194	NULL
PF00007	Cystine-knot domain	IPR006208	NULL
PF00008	EGF-like domain	IPR006209	NULL
PF00009	Elongation factor Tu GTP binding domain	IPR000795	NULL
PF00010	Helix-loop-helix DNA-binding domain	IPR011598	NULL
PF00011	Hsp20/alpha crystallin family	IPR002068	NULL
PF00012	Hsp70 protein	IPR013126	NULL
PF00013	KH domain	IPR004088	NULL
PF00014	Kunitz/Bovine pancreatic trypsin inhibitor domain	IPR002223	NULL
PF00015	Methyl-accepting chemotaxis protein (MCP) signalling domain	IPR004089	NULL
PF00016	Ribulose bisphosphate carboxylase large chain, catalytic domain	IPR000685	NULL
PF00017	SH2 domain	IPR000980	NULL
PF00018	SH3 domain	IPR001452	NULL
PF00019	Transforming growth factor beta like domain	IPR001839	NULL
PF00020	TNFR/NGFR cysteine-rich region	IPR001368	NULL
PF00021	u-PAR/Ly-6 domain	IPR001526	NULL
PF00022	Actin	IPR004000	NULL
PF00023	Ankyrin repeat	IPR002110	NULL
PF00024	PAN domain	IPR003014	NULL
PF00025	ADP-ribosylation factor family	IPR006689	NULL
PF00026	Eukaryotic aspartyl protease	IPR001461	NULL
PF00027	Cyclic nucleotide-binding domain	IPR000595	NULL
PF00028	Cadherin domain	IPR002126	NULL
PF00029	Connexin	IPR013092	NULL
PF00030	Beta/Gamma crystallin	IPR001064	NULL
PF00031	Cystatin domain	IPR000010	NULL
PF00032	Cytochrome b(C-terminal)/b6/petD	IPR005798	NULL
PF00033	Cytochrome b(N-terminal)/b6/petB	IPR016174	NULL
PF00034	Cytochrome c	IPR003088	NULL
PF00035	Double-stranded RNA binding motif	IPR001159	NULL
PF00036	EF hand	IPR018248	NULL
PF00037	4Fe-4S binding domain	IPR001450	NULL
PF00038	Intermediate filament protein	IPR016044	NULL
PF00039	Fibronectin type I domain	IPR000083	NULL
PF00040	Fibronectin type II domain	IPR000562	NULL
PF00041	Fibronectin type III domain	IPR003961	NULL
PF00042	Globin	IPR000971	NULL
PF00043	Glutathione S-transferase, C-terminal domain	IPR004046	NULL
PF00044	Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain	IPR020828	NULL
PF00045	Hemopexin	IPR018487	NULL
PF00046	Homeobox domain	IPR001356	NULL
PF00047	Immunoglobulin domain	IPR013151	NULL
PF00048	Small cytokines (intecrine/chemokine), interleukin-8 like	IPR001811	NULL
PF00049	Insulin/IGF/Relaxin family	IPR016179	NULL
PF00050	Kazal-type serine protease inhibitor domain	IPR002350	NULL
PF00051	Kringle domain	IPR000001	NULL
PF00052	Laminin B (Domain IV)	IPR000034	NULL
PF00053	Laminin EGF-like (Domains III and V)	IPR002049	NULL
PF00054	Laminin G domain	IPR001791	NULL
PF00055	Laminin N-terminal (Domain VI)	IPR008211	NULL
PF00056	lactate/malate dehydrogenase, NAD binding domain	IPR001236	NULL
PF00057	Low-density lipoprotein receptor domain class A	IPR002172	NULL
PF00058	Low-density lipoprotein receptor repeat class B	IPR000033	NULL
PF00059	Lectin C-type domain	IPR001304	NULL
PF00060	Ligand-gated ion channel	IPR001320	NULL
PF00061	Lipocalin / cytosolic fatty-acid binding protein family	IPR000566	NULL
PF00062	C-type lysozyme/alpha-lactalbumin family	IPR001916	NULL
PF00063	Myosin head (motor domain)	IPR001609	NULL
PF00064	Neuraminidase	IPR001860	NULL
PF00066	LNR domain	IPR000800	NULL
PF00067	Cytochrome P450	IPR001128	NULL
PF00068	Phospholipase A2	IPR001211	NULL
PF00069	Protein kinase domain	IPR000719	NULL
PF00070	Pyridine nucleotide-disulphide oxidoreductase	IPR001327	NULL
PF00071	Ras family	IPR001806	NULL
PF00072	Response regulator receiver domain	IPR001789	NULL
